Genes	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
KDR	P35968	VGFR2_HUMAN	reviewed	Vascular endothelial growth factor receptor 2 (VEGFR-2) (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor) (KDR) (Protein-tyrosine kinase receptor flk-1) (CD antigen CD309)	KDR FLK1 VEGFR2	Homo sapiens (Human)	1356
JUN	P05412	JUN_HUMAN	reviewed	Transcription factor AP-1 (Activator protein 1) (AP1) (Proto-oncogene c-Jun) (V-jun avian sarcoma virus 17 oncogene homolog) (p39)	JUN	Homo sapiens (Human)	331
HTT	P31645	SC6A4_HUMAN	reviewed	Sodium-dependent serotonin transporter (SERT) (5HT transporter) (5HTT) (Solute carrier family 6 member 4)	SLC6A4 HTT SERT	Homo sapiens (Human)	630
HTT	P42858	HD_HUMAN	reviewed	Huntingtin (Huntington disease protein) (HD protein) [Cleaved into: Huntingtin, myristoylated N-terminal fragment]	HTT HD IT15	Homo sapiens (Human)	3142
IFNK	Q9P0W0	IFNK_HUMAN	reviewed	Interferon kappa (IFN-kappa)	IFNK UNQ6124/PRO20084	Homo sapiens (Human)	207
CHMP2B	Q9UQN3	CHM2B_HUMAN	reviewed	Charged multivesicular body protein 2b (CHMP2.5) (Chromatin-modifying protein 2b) (CHMP2b) (Vacuolar protein sorting-associated protein 2-2) (Vps2-2) (hVps2-2)	CHMP2B CGI-84	Homo sapiens (Human)	213
ANK3	Q12955	ANK3_HUMAN	reviewed	Ankyrin-3 (ANK-3) (Ankyrin-G)	ANK3	Homo sapiens (Human)	4377
NEK1	Q96PY6	NEK1_HUMAN	reviewed	Serine/threonine-protein kinase Nek1 (EC 2.7.11.1) (Never in mitosis A-related kinase 1) (NimA-related protein kinase 1) (Renal carcinoma antigen NY-REN-55)	NEK1 KIAA1901	Homo sapiens (Human)	1258
PSEN1	P49768	PSN1_HUMAN	reviewed	Presenilin-1 (PS-1) (EC 3.4.23.-) (Protein S182) [Cleaved into: Presenilin-1 NTF subunit; Presenilin-1 CTF subunit; Presenilin-1 CTF12 (PS1-CTF12)]	PSEN1 AD3 PS1 PSNL1	Homo sapiens (Human)	467
PPARGC1A	Q9UBK2	PRGC1_HUMAN	reviewed	Peroxisome proliferator-activated receptor gamma coactivator 1-alpha (PGC-1-alpha) (PPAR-gamma coactivator 1-alpha) (PPARGC-1-alpha) (Ligand effect modulator 6)	PPARGC1A LEM6 PGC1 PGC1A PPARGC1	Homo sapiens (Human)	798
HGF	P14210	HGF_HUMAN	reviewed	Hepatocyte growth factor (Hepatopoietin-A) (Scatter factor) (SF) [Cleaved into: Hepatocyte growth factor alpha chain; Hepatocyte growth factor beta chain]	HGF HPTA	Homo sapiens (Human)	728
NOG	Q13253	NOGG_HUMAN	reviewed	Noggin	NOG	Homo sapiens (Human)	232
CRBN	Q96SW2	CRBN_HUMAN	reviewed	Protein cereblon	CRBN AD-006	Homo sapiens (Human)	442
MASP1	P48740	MASP1_HUMAN	reviewed	Mannan-binding lectin serine protease 1 (EC 3.4.21.-) (Complement factor MASP-3) (Complement-activating component of Ra-reactive factor) (Mannose-binding lectin-associated serine protease 1) (MASP-1) (Mannose-binding protein-associated serine protease) (Ra-reactive factor serine protease p100) (RaRF) (Serine protease 5) [Cleaved into: Mannan-binding lectin serine protease 1 heavy chain; Mannan-binding lectin serine protease 1 light chain]	MASP1 CRARF CRARF1 PRSS5	Homo sapiens (Human)	699
LAMA2	P24043	LAMA2_HUMAN	reviewed	Laminin subunit alpha-2 (Laminin M chain) (Laminin-12 subunit alpha) (Laminin-2 subunit alpha) (Laminin-4 subunit alpha) (Merosin heavy chain)	LAMA2 LAMM	Homo sapiens (Human)	3122
LAMA3	Q16787	LAMA3_HUMAN	reviewed	Laminin subunit alpha-3 (Epiligrin 170 kDa subunit) (E170) (Epiligrin subunit alpha) (Kalinin subunit alpha) (Laminin-5 subunit alpha) (Laminin-6 subunit alpha) (Laminin-7 subunit alpha) (Nicein subunit alpha)	LAMA3 LAMNA	Homo sapiens (Human)	3333
SERPINA1	P01009	A1AT_HUMAN	reviewed	Alpha-1-antitrypsin (Alpha-1 protease inhibitor) (Alpha-1-antiproteinase) (Serpin A1) [Cleaved into: Short peptide from AAT (SPAAT)]	SERPINA1 AAT PI PRO0684 PRO2209	Homo sapiens (Human)	418
APEX1	P27695	APEX1_HUMAN	reviewed	DNA-(apurinic or apyrimidinic site) endonuclease (EC 3.1.-.-) (APEX nuclease) (APEN) (Apurinic-apyrimidinic endonuclease 1) (AP endonuclease 1) (APE-1) (REF-1) (Redox factor-1) [Cleaved into: DNA-(apurinic or apyrimidinic site) endonuclease, mitochondrial]	APEX1 APE APE1 APEX APX HAP1 REF1	Homo sapiens (Human)	318
ICA1L	Q8NDH6	ICA1L_HUMAN	reviewed	Islet cell autoantigen 1-like protein (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 14 protein) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 15 protein)	ICA1L ALS2CR14 ALS2CR15	Homo sapiens (Human)	482
PGR	P06401	PRGR_HUMAN	reviewed	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	PGR NR3C3	Homo sapiens (Human)	933
DPP6	P42658	DPP6_HUMAN	reviewed	Dipeptidyl aminopeptidase-like protein 6 (DPPX) (Dipeptidyl aminopeptidase-related protein) (Dipeptidyl peptidase 6) (Dipeptidyl peptidase IV-like protein) (Dipeptidyl peptidase VI) (DPP VI)	DPP6	Homo sapiens (Human)	865
FLT1	P17948	VGFR1_HUMAN	reviewed	Vascular endothelial growth factor receptor 1 (VEGFR-1) (EC 2.7.10.1) (Fms-like tyrosine kinase 1) (FLT-1) (Tyrosine-protein kinase FRT) (Tyrosine-protein kinase receptor FLT) (FLT) (Vascular permeability factor receptor)	FLT1 FLT FRT VEGFR1	Homo sapiens (Human)	1338
HDAC1	Q13547	HDAC1_HUMAN	reviewed	Histone deacetylase 1 (HD1) (EC 3.5.1.98)	HDAC1 RPD3L1	Homo sapiens (Human)	482
FGF9	P31371	FGF9_HUMAN	reviewed	Fibroblast growth factor 9 (FGF-9) (Glia-activating factor) (GAF) (Heparin-binding growth factor 9) (HBGF-9)	FGF9	Homo sapiens (Human)	208
NEFL	P07196	NFL_HUMAN	reviewed	Neurofilament light polypeptide (NF-L) (68 kDa neurofilament protein) (Neurofilament triplet L protein)	NEFL NF68 NFL	Homo sapiens (Human)	543
KDM4A	O75164	KDM4A_HUMAN	reviewed	Lysine-specific demethylase 4A (EC 1.14.11.66) (EC 1.14.11.69) (JmjC domain-containing histone demethylation protein 3A) (Jumonji domain-containing protein 2A) ([histone H3]-trimethyl-L-lysine(36) demethylase 4A) ([histone H3]-trimethyl-L-lysine(9) demethylase 4A)	KDM4A JHDM3A JMJD2 JMJD2A KIAA0677	Homo sapiens (Human)	1064
BMPR1B	O00238	BMR1B_HUMAN	reviewed	Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (CD antigen CDw293)	BMPR1B	Homo sapiens (Human)	502
IGF2	P01344	IGF2_HUMAN	reviewed	Insulin-like growth factor II (IGF-II) (Somatomedin-A) (T3M-11-derived growth factor) [Cleaved into: Insulin-like growth factor II; Insulin-like growth factor II Ala-25 Del; Preptin]	IGF2 PP1446	Homo sapiens (Human)	180
CHI3L1	P36222	CH3L1_HUMAN	reviewed	Chitinase-3-like protein 1 (39 kDa synovial protein) (Cartilage glycoprotein 39) (CGP-39) (GP-39) (hCGP-39) (YKL-40)	CHI3L1	Homo sapiens (Human)	383
IGFBP3	P17936	IBP3_HUMAN	reviewed	Insulin-like growth factor-binding protein 3 (IBP-3) (IGF-binding protein 3) (IGFBP-3)	IGFBP3 IBP3	Homo sapiens (Human)	291
TNFRSF1A	P19438	TNR1A_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 1A (Tumor necrosis factor receptor 1) (TNF-R1) (Tumor necrosis factor receptor type I) (TNF-RI) (TNFR-I) (p55) (p60) (CD antigen CD120a) [Cleaved into: Tumor necrosis factor receptor superfamily member 1A, membrane form; Tumor necrosis factor-binding protein 1 (TBPI)]	TNFRSF1A TNFAR TNFR1	Homo sapiens (Human)	455
BSG	P35613	BASI_HUMAN	reviewed	Basigin (5F7) (Collagenase stimulatory factor) (Extracellular matrix metalloproteinase inducer) (EMMPRIN) (Hepatoma-associated antigen) (HAb18G) (Leukocyte activation antigen M6) (OK blood group antigen) (Tumor cell-derived collagenase stimulatory factor) (TCSF) (CD antigen CD147)	BSG UNQ6505/PRO21383	Homo sapiens (Human)	385
ANXA11	P50995	ANX11_HUMAN	reviewed	Annexin A11 (56 kDa autoantigen) (Annexin XI) (Annexin-11) (Calcyclin-associated annexin 50) (CAP-50)	ANXA11 ANX11	Homo sapiens (Human)	505
TYRP1	P17643	TYRP1_HUMAN	reviewed	5,6-dihydroxyindole-2-carboxylic acid oxidase (DHICA oxidase) (EC 1.14.18.-) (Catalase B) (Glycoprotein 75) (Melanoma antigen gp75) (Tyrosinase-related protein 1) (TRP) (TRP-1) (TRP1)	TYRP1 CAS2 TYRP TYRRP	Homo sapiens (Human)	537
P2RX7	Q99572	P2RX7_HUMAN	reviewed	P2X purinoceptor 7 (P2X7) (ATP receptor) (P2Z receptor) (Purinergic receptor)	P2RX7	Homo sapiens (Human)	595
PRPH	P23942	PRPH2_HUMAN	reviewed	Peripherin-2 (Retinal degeneration slow protein) (Tetraspanin-22) (Tspan-22)	PRPH2 PRPH RDS TSPAN22	Homo sapiens (Human)	346
PRPH	P41219	PERI_HUMAN	reviewed	Peripherin (Neurofilament 4)	PRPH NEF4 PRPH1	Homo sapiens (Human)	470
TIMP1	P01033	TIMP1_HUMAN	reviewed	Metalloproteinase inhibitor 1 (Erythroid-potentiating activity) (EPA) (Fibroblast collagenase inhibitor) (Collagenase inhibitor) (Tissue inhibitor of metalloproteinases 1) (TIMP-1)	TIMP1 CLGI TIMP	Homo sapiens (Human)	207
IL13	P35225	IL13_HUMAN	reviewed	Interleukin-13 (IL-13)	IL13 NC30	Homo sapiens (Human)	146
HSPB1	P04792	HSPB1_HUMAN	reviewed	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	HSPB1 HSP27 HSP28	Homo sapiens (Human)	205
ATXN2	Q99700	ATX2_HUMAN	reviewed	Ataxin-2 (Spinocerebellar ataxia type 2 protein) (Trinucleotide repeat-containing gene 13 protein)	ATXN2 ATX2 SCA2 TNRC13	Homo sapiens (Human)	1313
DACH1	Q9UI36	DACH1_HUMAN	reviewed	Dachshund homolog 1 (Dach1)	DACH1 DACH	Homo sapiens (Human)	758
OLFM4	Q6UX06	OLFM4_HUMAN	reviewed	Olfactomedin-4 (OLM4) (Antiapoptotic protein GW112) (G-CSF-stimulated clone 1 protein) (hGC-1) (hOLfD)	OLFM4 GW112 UNQ362/PRO698	Homo sapiens (Human)	510
ANXA3	P12429	ANXA3_HUMAN	reviewed	Annexin A3 (35-alpha calcimedin) (Annexin III) (Annexin-3) (Inositol 1,2-cyclic phosphate 2-phosphohydrolase) (Lipocortin III) (Placental anticoagulant protein III) (PAP-III)	ANXA3 ANX3	Homo sapiens (Human)	323
TBXAS1	P24557	THAS_HUMAN	reviewed	Thromboxane-A synthase (TXA synthase) (TXS) (EC 5.3.99.5) (Cytochrome P450 5A1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152)	TBXAS1 CYP5 CYP5A1 TXAS	Homo sapiens (Human)	533
EPO	P01588	EPO_HUMAN	reviewed	Erythropoietin (Epoetin)	EPO	Homo sapiens (Human)	193
EPO	P11678	PERE_HUMAN	reviewed	Eosinophil peroxidase (EPO) (EC 1.11.1.7) [Cleaved into: Eosinophil peroxidase light chain; Eosinophil peroxidase heavy chain]	EPX EPER EPO EPP	Homo sapiens (Human)	715
NRG1	Q02297	NRG1_HUMAN	reviewed	Pro-neuregulin-1, membrane-bound isoform (Pro-NRG1) [Cleaved into: Neuregulin-1 (Acetylcholine receptor-inducing activity) (ARIA) (Breast cancer cell differentiation factor p45) (Glial growth factor) (Heregulin) (HRG) (Neu differentiation factor) (Sensory and motor neuron-derived factor)]	NRG1 GGF HGL HRGA NDF SMDF	Homo sapiens (Human)	640
CALR	P27797	CALR_HUMAN	reviewed	Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP) (grp60)	CALR CRTC	Homo sapiens (Human)	417
PFKP	Q01813	PFKAP_HUMAN	reviewed	ATP-dependent 6-phosphofructokinase, platelet type (ATP-PFK) (PFK-P) (EC 2.7.1.11) (6-phosphofructokinase type C) (Phosphofructo-1-kinase isozyme C) (PFK-C) (Phosphohexokinase)	PFKP PFKF	Homo sapiens (Human)	784
ITPR2	Q14571	ITPR2_HUMAN	reviewed	Inositol 1,4,5-trisphosphate receptor type 2 (IP3 receptor isoform 2) (IP3R 2) (InsP3R2) (Type 2 inositol 1,4,5-trisphosphate receptor) (Type 2 InsP3 receptor)	ITPR2	Homo sapiens (Human)	2701
S100B	P04271	S100B_HUMAN	reviewed	Protein S100-B (S-100 protein beta chain) (S-100 protein subunit beta) (S100 calcium-binding protein B)	S100B	Homo sapiens (Human)	92
ENG	P17813	EGLN_HUMAN	reviewed	Endoglin (CD antigen CD105)	ENG END	Homo sapiens (Human)	658
PARK7	Q99497	PARK7_HUMAN	reviewed	Parkinson disease protein 7 (Maillard deglycase) (Oncogene DJ1) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1) (Protein/nucleic acid deglycase DJ-1) (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124)	PARK7	Homo sapiens (Human)	189
TNNT2	P45379	TNNT2_HUMAN	reviewed	Troponin T, cardiac muscle (TnTc) (Cardiac muscle troponin T) (cTnT)	TNNT2	Homo sapiens (Human)	298
NOTCH3	Q9UM47	NOTC3_HUMAN	reviewed	Neurogenic locus notch homolog protein 3 (Notch 3) [Cleaved into: Notch 3 extracellular truncation; Notch 3 intracellular domain]	NOTCH3	Homo sapiens (Human)	2321
INPP4B	O15327	INP4B_HUMAN	reviewed	Inositol polyphosphate 4-phosphatase type II (Type II inositol 3,4-bisphosphate 4-phosphatase) (EC 3.1.3.66)	INPP4B	Homo sapiens (Human)	924
ELAVL1	Q15717	ELAV1_HUMAN	reviewed	ELAV-like protein 1 (Hu-antigen R) (HuR)	ELAVL1 HUR	Homo sapiens (Human)	326
ARHGEF2	Q92974	ARHG2_HUMAN	reviewed	Rho guanine nucleotide exchange factor 2 (Guanine nucleotide exchange factor H1) (GEF-H1) (Microtubule-regulated Rho-GEF) (Proliferating cell nucleolar antigen p40)	ARHGEF2 KIAA0651 LFP40	Homo sapiens (Human)	986
CYP1A2	P05177	CP1A2_HUMAN	reviewed	Cytochrome P450 1A2 (EC 1.14.14.1) (CYPIA2) (Cholesterol 25-hydroxylase) (Cytochrome P(3)450) (Cytochrome P450 4) (Cytochrome P450-P3) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152)	CYP1A2	Homo sapiens (Human)	516
GH1	P01241	SOMA_HUMAN	reviewed	Somatotropin (Growth hormone) (GH) (GH-N) (Growth hormone 1) (Pituitary growth hormone)	GH1	Homo sapiens (Human)	217
PTPRF	P10586	PTPRF_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48) (Leukocyte common antigen related) (LAR)	PTPRF LAR	Homo sapiens (Human)	1907
TNFRSF1B	P20333	TNR1B_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 1B (Tumor necrosis factor receptor 2) (TNF-R2) (Tumor necrosis factor receptor type II) (TNF-RII) (TNFR-II) (p75) (p80 TNF-alpha receptor) (CD antigen CD120b) (Etanercept) [Cleaved into: Tumor necrosis factor receptor superfamily member 1b, membrane form; Tumor necrosis factor-binding protein 2 (TBP-2) (TBPII)]	TNFRSF1B TNFBR TNFR2	Homo sapiens (Human)	461
TREM2	Q9NZC2	TREM2_HUMAN	reviewed	Triggering receptor expressed on myeloid cells 2 (TREM-2) (Triggering receptor expressed on monocytes 2)	TREM2	Homo sapiens (Human)	230
PIN1	Q13526	PIN1_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase Pin1) (PPIase Pin1) (Rotamase Pin1)	PIN1	Homo sapiens (Human)	163
PRKAA1	Q13131	AAPK1_HUMAN	reviewed	5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26)	PRKAA1 AMPK1	Homo sapiens (Human)	559
CTNND2	Q9UQB3	CTND2_HUMAN	reviewed	Catenin delta-2 (Delta-catenin) (GT24) (Neural plakophilin-related ARM-repeat protein) (NPRAP) (Neurojungin)	CTNND2 NPRAP	Homo sapiens (Human)	1225
CCR2	P41597	CCR2_HUMAN	reviewed	C-C chemokine receptor type 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (Monocyte chemoattractant protein 1 receptor) (MCP-1-R) (CD antigen CD192)	CCR2 CMKBR2	Homo sapiens (Human)	374
IL6R	P08887	IL6RA_HUMAN	reviewed	Interleukin-6 receptor subunit alpha (IL-6 receptor subunit alpha) (IL-6R subunit alpha) (IL-6R-alpha) (IL-6RA) (IL-6R 1) (Membrane glycoprotein 80) (gp80) (CD antigen CD126) [Cleaved into: Soluble interleukin-6 receptor subunit alpha (sIL6R)]	IL6R	Homo sapiens (Human)	468
WNT5A	P41221	WNT5A_HUMAN	reviewed	Protein Wnt-5a	WNT5A	Homo sapiens (Human)	380
PPIA	P62937	PPIA_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]	PPIA CYPA	Homo sapiens (Human)	165
PINK1	Q9BXM7	PINK1_HUMAN	reviewed	Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)	PINK1	Homo sapiens (Human)	581
HDAC2	Q92769	HDAC2_HUMAN	reviewed	Histone deacetylase 2 (HD2) (EC 3.5.1.98)	HDAC2	Homo sapiens (Human)	488
HSF1	Q00613	HSF1_HUMAN	reviewed	Heat shock factor protein 1 (HSF 1) (Heat shock transcription factor 1) (HSTF 1)	HSF1 HSTF1	Homo sapiens (Human)	529
ITGA9	Q13797	ITA9_HUMAN	reviewed	Integrin alpha-9 (Integrin alpha-RLC)	ITGA9	Homo sapiens (Human)	1035
KEAP1	Q14145	KEAP1_HUMAN	reviewed	Kelch-like ECH-associated protein 1 (Cytosolic inhibitor of Nrf2) (INrf2) (Kelch-like protein 19)	KEAP1 INRF2 KIAA0132 KLHL19	Homo sapiens (Human)	624
HDAC6	Q9UBN7	HDAC6_HUMAN	reviewed	Histone deacetylase 6 (HD6) (EC 3.5.1.98) (Tubulin-lysine deacetylase HDAC6) (EC 3.5.1.-)	HDAC6 KIAA0901 JM21	Homo sapiens (Human)	1215
SLC25A12	O75746	CMC1_HUMAN	reviewed	Calcium-binding mitochondrial carrier protein Aralar1 (Mitochondrial aspartate glutamate carrier 1) (Solute carrier family 25 member 12)	SLC25A12 ARALAR1	Homo sapiens (Human)	678
NGFR	P08138	TNR16_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 16 (Gp80-LNGFR) (Low affinity neurotrophin receptor p75NTR) (Low-affinity nerve growth factor receptor) (NGF receptor) (p75 ICD) (CD antigen CD271)	NGFR TNFRSF16	Homo sapiens (Human)	427
HSPA8	P11142	HSP7C_HUMAN	reviewed	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)	HSPA8 HSC70 HSP73 HSPA10	Homo sapiens (Human)	646
CD34	P28906	CD34_HUMAN	reviewed	Hematopoietic progenitor cell antigen CD34 (CD antigen CD34)	CD34	Homo sapiens (Human)	385
ATP2B2	P23634	AT2B4_HUMAN	reviewed	Plasma membrane calcium-transporting ATPase 4 (PMCA4) (EC 7.2.2.10) (Matrix-remodeling-associated protein 1) (Plasma membrane calcium ATPase isoform 4) (Plasma membrane calcium pump isoform 4)	ATP2B4 ATP2B2 MXRA1	Homo sapiens (Human)	1241
ATP2B2	Q01814	AT2B2_HUMAN	reviewed	Plasma membrane calcium-transporting ATPase 2 (PMCA2) (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 2) (Plasma membrane calcium pump isoform 2)	ATP2B2 PMCA2	Homo sapiens (Human)	1243
HOXD10	P28358	HXD10_HUMAN	reviewed	Homeobox protein Hox-D10 (Homeobox protein Hox-4D) (Homeobox protein Hox-4E)	HOXD10 HOX4D HOX4E	Homo sapiens (Human)	340
SREBF1	P36956	SRBP1_HUMAN	reviewed	Sterol regulatory element-binding protein 1 (SREBP-1) (Class D basic helix-loop-helix protein 1) (bHLHd1) (Sterol regulatory element-binding transcription factor 1) [Cleaved into: Processed sterol regulatory element-binding protein 1 (Transcription factor SREBF1)]	SREBF1 BHLHD1 SREBP1	Homo sapiens (Human)	1147
PCSK5	Q92824	PCSK5_HUMAN	reviewed	Proprotein convertase subtilisin/kexin type 5 (EC 3.4.21.-) (Proprotein convertase 5) (PC5) (Proprotein convertase 6) (PC6) (hPC6) (Subtilisin/kexin-like protease PC5)	PCSK5 PC5 PC6	Homo sapiens (Human)	1860
NOS1	P29475	NOS1_HUMAN	reviewed	Nitric oxide synthase, brain (EC 1.14.13.39) (Constitutive NOS) (NC-NOS) (NOS type I) (Neuronal NOS) (N-NOS) (nNOS) (Peptidyl-cysteine S-nitrosylase NOS1) (bNOS)	NOS1	Homo sapiens (Human)	1434
NOS1	Q8WY41	NANO1_HUMAN	reviewed	Nanos homolog 1 (NOS-1) (EC_Rep1a)	NANOS1 NOS1	Homo sapiens (Human)	292
CX3CR1	P49238	CX3C1_HUMAN	reviewed	CX3C chemokine receptor 1 (C-X3-C CKR-1) (CX3CR1) (Beta chemokine receptor-like 1) (CMK-BRL-1) (CMK-BRL1) (Fractalkine receptor) (G-protein coupled receptor 13) (V28)	CX3CR1 CMKBRL1 GPR13	Homo sapiens (Human)	355
CHGA	P10645	CMGA_HUMAN	reviewed	Chromogranin-A (CgA) (Pituitary secretory protein I) (SP-I) [Cleaved into: Vasostatin-1 (Vasostatin I); Vasostatin-2 (Vasostatin II); EA-92; ES-43; Pancreastatin; SS-18; WA-8; WE-14; LF-19; Catestatin (SL21); AL-11; GV-19; GR-44; ER-37; GE-25; Serpinin-RRG; Serpinin; p-Glu serpinin precursor]	CHGA	Homo sapiens (Human)	457
FIG4	Q92562	FIG4_HUMAN	reviewed	Polyphosphoinositide phosphatase (EC 3.1.3.-) (EC 3.1.3.36) (EC 3.1.3.86) (Phosphatidylinositol 3,5-bisphosphate 5-phosphatase) (SAC domain-containing protein 3) (Serine-protein phosphatase FIG4) (EC 3.1.3.16)	FIG4 KIAA0274 SAC3	Homo sapiens (Human)	907
EIF2AK2	P19525	E2AK2_HUMAN	reviewed	Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)	EIF2AK2 PKR PRKR	Homo sapiens (Human)	551
CYBB	P04839	CY24B_HUMAN	reviewed	Cytochrome b-245 heavy chain (EC 1.-.-.-) (CGD91-phox) (Cytochrome b(558) subunit beta) (Cytochrome b558 subunit beta) (Heme-binding membrane glycoprotein gp91phox) (NADPH oxidase 2) (Neutrophil cytochrome b 91 kDa polypeptide) (Superoxide-generating NADPH oxidase heavy chain subunit) (gp91-1) (gp91-phox) (p22 phagocyte B-cytochrome)	CYBB NOX2	Homo sapiens (Human)	570
UCHL1	P09936	UCHL1_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase isozyme L1 (UCH-L1) (EC 3.4.19.12) (Neuron cytoplasmic protein 9.5) (PGP 9.5) (PGP9.5) (Ubiquitin thioesterase L1)	UCHL1	Homo sapiens (Human)	223
EWSR1	Q01844	EWS_HUMAN	reviewed	RNA-binding protein EWS (EWS oncogene) (Ewing sarcoma breakpoint region 1 protein)	EWSR1 EWS	Homo sapiens (Human)	656
HADH	P40939	ECHA_HUMAN	reviewed	Trifunctional enzyme subunit alpha, mitochondrial (78 kDa gastrin-binding protein) (Monolysocardiolipin acyltransferase) (EC 2.3.1.-) (TP-alpha) [Includes: Long-chain enoyl-CoA hydratase (EC 4.2.1.17); Long chain 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.211)]	HADHA HADH	Homo sapiens (Human)	763
HADH	Q16836	HCDH_HUMAN	reviewed	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial (HCDH) (EC 1.1.1.35) (Medium and short-chain L-3-hydroxyacyl-coenzyme A dehydrogenase) (Short-chain 3-hydroxyacyl-CoA dehydrogenase)	HADH HAD HAD1 HADHSC SCHAD	Homo sapiens (Human)	314
TIMP3	P35625	TIMP3_HUMAN	reviewed	Metalloproteinase inhibitor 3 (Protein MIG-5) (Tissue inhibitor of metalloproteinases 3) (TIMP-3)	TIMP3	Homo sapiens (Human)	211
GZMB	P10144	GRAB_HUMAN	reviewed	Granzyme B (EC 3.4.21.79) (C11) (CTLA-1) (Cathepsin G-like 1) (CTSGL1) (Cytotoxic T-lymphocyte proteinase 2) (Lymphocyte protease) (Fragmentin-2) (Granzyme-2) (Human lymphocyte protein) (HLP) (SECT) (T-cell serine protease 1-3E)	GZMB CGL1 CSPB CTLA1 GRB	Homo sapiens (Human)	247
NFASC	O94856	NFASC_HUMAN	reviewed	Neurofascin	NFASC KIAA0756	Homo sapiens (Human)	1347
CTSD	P07339	CATD_HUMAN	reviewed	Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain]	CTSD CPSD	Homo sapiens (Human)	412
OPA1	O60313	OPA1_HUMAN	reviewed	Dynamin-like 120 kDa protein, mitochondrial (EC 3.6.5.5) (Optic atrophy protein 1) [Cleaved into: Dynamin-like 120 kDa protein, form S1]	OPA1 KIAA0567	Homo sapiens (Human)	960
CNTN4	Q8IWV2	CNTN4_HUMAN	reviewed	Contactin-4 (Brain-derived immunoglobulin superfamily protein 2) (BIG-2)	CNTN4	Homo sapiens (Human)	1026
DNM1L	O00429	DNM1L_HUMAN	reviewed	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	DNM1L DLP1 DRP1	Homo sapiens (Human)	736
NRXN3	Q9HDB5	NRX3B_HUMAN	reviewed	Neurexin-3-beta (Neurexin III-beta) [Cleaved into: Neurexin-3-beta, soluble form; Neurexin-3-beta, C-terminal fragment (NRXN3-CTF)]	NRXN3 KIAA0743	Homo sapiens (Human)	637
