organism,pref_name,target_type,gene_target
Homo sapiens,Glutamate [NMDA] receptor subunit epsilon 3,SINGLE PROTEIN,AR
Bos taurus,Calpain 2,SINGLE PROTEIN,AR
Bos taurus,Vitamin D receptor,SINGLE PROTEIN,AR
Cavia porcellus,Cholecystokinin A receptor,SINGLE PROTEIN,AR
Bos taurus,Muscarinic acetylcholine receptor M1,SINGLE PROTEIN,AR
Sus scrofa,Carnitine palmitoyltransferase 1A,SINGLE PROTEIN,AR
Rattus norvegicus,Glutamate [NMDA] receptor subunit 3A,SINGLE PROTEIN,AR
Homo sapiens,Suv3 helicase,SINGLE PROTEIN,AR
Arabidopsis thaliana,24-sterol C-methyltransferase,SINGLE PROTEIN,AR
Drosophila melanogaster,CG8425-PA [Drosophila melanogaster],SINGLE PROTEIN,AR
Rattus norvegicus,Hydroxycarboxylic acid receptor 2,SINGLE PROTEIN,AR
Mycobacterium tuberculosis,3-oxoacyl-[acyl-carrier-protein] synthase III,SINGLE PROTEIN,AR
Homo sapiens,Sodium/glucose cotransporter 1,SINGLE PROTEIN,AR
Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),3-dehydroquinate dehydratase,SINGLE PROTEIN,AR
Plasmodium falciparum,Plasmepsin 1,SINGLE PROTEIN,AR
Plasmodium falciparum,Plasmepsin 2,SINGLE PROTEIN,AR
Homo sapiens,Sodium channel protein type VII alpha subunit,SINGLE PROTEIN,AR
Homo sapiens,Proteinase activated receptor 4,SINGLE PROTEIN,AR
Geobacillus stearothermophilus,Geranyltranstransferase,SINGLE PROTEIN,AR
Homo sapiens,Interleukin-1 receptor-associated kinase 4,SINGLE PROTEIN,AR
Escherichia coli K-12,Type 1 dehydroquinase,SINGLE PROTEIN,AR
Sus scrofa,L-lactate dehydrogenase B chain,SINGLE PROTEIN,AR
Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),Arabinose 5-phosphate isomerase,SINGLE PROTEIN,AR
Canis lupus familiaris,Ryanodine receptor 2,SINGLE PROTEIN,AR
Homo sapiens,Lysophosphatidic acid receptor Edg-7,SINGLE PROTEIN,AR
Escherichia coli K-12,3-dehydroquinate synthase,SINGLE PROTEIN,AR
Rattus norvegicus,"Amine oxidase, copper containing",SINGLE PROTEIN,AR
Homo sapiens,Vitamin K-dependent gamma-carboxylase,SINGLE PROTEIN,AR
Mus musculus,"Amine oxidase, copper containing",SINGLE PROTEIN,AR
Homo sapiens,Dual specificity phosphatase 22,SINGLE PROTEIN,AR
Methanobacterium thermoautotrophicum,Carbonic anhydrase,SINGLE PROTEIN,AR
Staphylococcus aureus subsp. aureus Mu50,Topoisomerase IV subunit A,SINGLE PROTEIN,AR
SARS coronavirus,SARS coronavirus 3C-like proteinase,SINGLE PROTEIN,AR
Homo sapiens,Serine/threonine-protein kinase Aurora-A,SINGLE PROTEIN,AR
Homo sapiens,Serine/threonine-protein kinase EEF2K,SINGLE PROTEIN,AR
Oryctolagus cuniculus,Aryl hydrocarbon receptor,SINGLE PROTEIN,AR
Rattus norvegicus,Dimethylarginine dimethylaminohydrolase 1,SINGLE PROTEIN,AR
Oryctolagus cuniculus,Coagulation factor X,SINGLE PROTEIN,AR
Homo sapiens,Serine/threonine-protein kinase RIPK2,SINGLE PROTEIN,AR
Saccharomyces cerevisiae S288c,Heat shock protein HSP 90 (HSP82),SINGLE PROTEIN,AR
Homo sapiens,Cellular tumor antigen p53,SINGLE PROTEIN,AR
Homo sapiens,Fatty acid binding protein muscle,SINGLE PROTEIN,AR
Mycobacterium tuberculosis,3-dehydroquinate dehydratase,SINGLE PROTEIN,AR
Homo sapiens,Cytochrome P450 2A6,SINGLE PROTEIN,AR
Oryctolagus cuniculus,Arachidonate 15-lipoxygenase,SINGLE PROTEIN,AR
Pichia angusta,"Amine oxidase, copper containing",SINGLE PROTEIN,AR
Saccharomyces cerevisiae S288c,Heat shock protein HSP 90 (HSC82),SINGLE PROTEIN,AR
Streptomyces sp. R61,Penicillin-binding protein 4,SINGLE PROTEIN,AR
Mus musculus,Galectin-3,SINGLE PROTEIN,AR
Mus musculus,Cytochrome P450 2A5,SINGLE PROTEIN,AR
Homo sapiens,Sodium/glucose cotransporter 2,SINGLE PROTEIN,AR
Methanosarcina thermophila,Carbonic anhydrase,SINGLE PROTEIN,AR
Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Beta-ketoacyl-ACP synthase III,SINGLE PROTEIN,AR
Staphylococcus aureus,Topoisomerase IV subunit A,SINGLE PROTEIN,AR
Homo sapiens,LXR-beta,SINGLE PROTEIN,AR
Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315),Beta-ketoacyl-ACP synthase III,SINGLE PROTEIN,AR
Staphylococcus aureus subsp. aureus Mu50,Beta-ketoacyl-ACP synthase III,SINGLE PROTEIN,AR
Rattus norvegicus,Calpain 1,SINGLE PROTEIN,AR
Homo sapiens,"Amine oxidase, copper containing",SINGLE PROTEIN,AR
Rattus norvegicus,Coagulation factor X,SINGLE PROTEIN,AR
Rattus norvegicus,Phenylalanyl-tRNA synthetase mitochondrial,SINGLE PROTEIN,AR
Enterococcus faecalis (strain ATCC 700802 / V583),Beta-ketoacyl-ACP synthase III,SINGLE PROTEIN,AR
Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228),Carboxypeptidase G2,SINGLE PROTEIN,AR
Equus caballus,Butyrylcholinesterase,SINGLE PROTEIN,AR
Homo sapiens,Serine/threonine-protein kinase Aurora-C,SINGLE PROTEIN,AR
Homo sapiens,MAP/microtubule affinity-regulating kinase 2,SINGLE PROTEIN,AR
Homo sapiens,Tyrosine-protein kinase FER,SINGLE PROTEIN,AR
Homo sapiens,Tyrosine-protein kinase FRK,SINGLE PROTEIN,AR
Homo sapiens,Tyrosine-protein kinase BMX,SINGLE PROTEIN,AR
Homo sapiens,Serine/threonine-protein kinase 38-like,SINGLE PROTEIN,AR
Rattus norvegicus,Glutamate [NMDA] receptor subunit epsilon 3,SINGLE PROTEIN,AR
Ovis aries,Serotonin N-acetyltransferase,SINGLE PROTEIN,AR
Macaca mulatta,Serotonin transporter,SINGLE PROTEIN,AR
Macaca fascicularis,Dopamine transporter,SINGLE PROTEIN,AR
Escherichia coli K-12,5-enolpyruvylshikimate-3-phosphate synthase,SINGLE PROTEIN,AR
Homo sapiens,NF-kappa-B essential modulator,SINGLE PROTEIN,AR
Homo sapiens,Tyrosine-protein kinase FES,SINGLE PROTEIN,AR
Rattus norvegicus,"AMP-activated protein kinase, alpha-1 subunit",SINGLE PROTEIN,AR
Rattus norvegicus,"AMP-activated protein kinase, alpha-2 subunit",SINGLE PROTEIN,AR
Homo sapiens,TGF-beta receptor type II,SINGLE PROTEIN,AR
Homo sapiens,Tyrosine-protein kinase receptor RET,SINGLE PROTEIN,AR
Mus musculus,Progesterone receptor,SINGLE PROTEIN,AR
Homo sapiens,Serine/threonine-protein kinase B-raf,SINGLE PROTEIN,AR
Homo sapiens,Tyrosine-protein kinase FGR,SINGLE PROTEIN,AR
Homo sapiens,Breakpoint cluster region protein,SINGLE PROTEIN,AR
Mus musculus,Vascular endothelial growth factor receptor 3,SINGLE PROTEIN,AR
Homo sapiens,Serine/threonine-protein kinase c-TAK1,SINGLE PROTEIN,AR
Rattus norvegicus,Bile acid transporter,SINGLE PROTEIN,AR
Mus musculus,Vitamin D receptor,SINGLE PROTEIN,AR
Homo sapiens,Eukaryotic translation initation factor,SINGLE PROTEIN,AR
Homo sapiens,Collagen-binding protein 1,SINGLE PROTEIN,AR
Homo sapiens,Galectin-3,SINGLE PROTEIN,AR
Homo sapiens,Bile acid transporter,SINGLE PROTEIN,AR
Homo sapiens,L-type amino acid transporter 1,SINGLE PROTEIN,AR
Homo sapiens,L-type amino acid transporter 2,SINGLE PROTEIN,AR
Homo sapiens,L-type amino acid transporter 3,SINGLE PROTEIN,AR
Rattus norvegicus,L-type amino acid transporter 1,SINGLE PROTEIN,AR
Homo sapiens,Proto-oncogene protein c-fos,SINGLE PROTEIN,AR
Homo sapiens,Nuclear factor NF-kappa-B p65 subunit,SINGLE PROTEIN,AR
Homo sapiens,Complement C3,SINGLE PROTEIN,AR
Pisum sativum,Amine oxidase,SINGLE PROTEIN,AR
Rattus norvegicus,Excitatory amino acid transporter 1,SINGLE PROTEIN,AR
Rattus norvegicus,Excitatory amino acid transporter 4,SINGLE PROTEIN,AR
Homo sapiens,Mannosyl-oligosaccharide glucosidase,SINGLE PROTEIN,AR
Bacteroides fragilis,Beta-lactamase type II,SINGLE PROTEIN,AR
Bacillus subtilis (strain 168),Holo-[acyl-carrieir-protein] synthase,SINGLE PROTEIN,AR
Homo sapiens,Hyaluronidase-1,SINGLE PROTEIN,AR
Alteromonas sp.,Organophosphorus acid anhydrolase-2,SINGLE PROTEIN,AR
Rattus norvegicus,Equilibrative nucleoside transporter 1,SINGLE PROTEIN,AR
Penicillium janthinellum,Penicillopepsin,SINGLE PROTEIN,AR
Saccharomyces cerevisiae S288c,Saccharopepesin,SINGLE PROTEIN,AR
Bacillus licheniformis,Subtilisin,SINGLE PROTEIN,AR
Saccharomyces cerevisiae S288c,Isoprenylcysteine carboxyl methyltransferase,SINGLE PROTEIN,AR
Plasmodium falciparum,Beta-ketoacyl-ACP-synthase III,SINGLE PROTEIN,AR
Homo sapiens,Hypoxia-inducible factor 1 alpha,SINGLE PROTEIN,AR
Homo sapiens,Vasoactive intestinal polypeptide receptor 1,SINGLE PROTEIN,AR
Homo sapiens,Vasoactive intestinal polypeptide receptor 2,SINGLE PROTEIN,AR
Mus musculus,GABA transporter 1,SINGLE PROTEIN,AR
Mus musculus,GABA transporter 3,SINGLE PROTEIN,AR
Mus musculus,GABA transporter 4,SINGLE PROTEIN,AR
Mus musculus,GABA transporter 2,SINGLE PROTEIN,AR
Rattus norvegicus,Tyrosine-protein kinase Lyn,SINGLE PROTEIN,AR
Rattus norvegicus,Trace amine-associated receptor 1,SINGLE PROTEIN,AR
Mus musculus,Trace amine-associated receptor 1,SINGLE PROTEIN,AR
Mus musculus,Hydroxycarboxylic acid receptor 2,SINGLE PROTEIN,AR
Homo sapiens,HM74 nicotinic acid GPCR,SINGLE PROTEIN,AR
Homo sapiens,Free fatty acid receptor 1,SINGLE PROTEIN,AR
Homo sapiens,C-C chemokine receptor type 6,SINGLE PROTEIN,AR
Rattus norvegicus,Lysophosphatidic acid receptor Edg-7,SINGLE PROTEIN,AR
Homo sapiens,C-C chemokine receptor type 7,SINGLE PROTEIN,AR
Rattus norvegicus,Lysophosphatidic acid receptor Edg-2,SINGLE PROTEIN,AR
Homo sapiens,Nucleophosmin,SINGLE PROTEIN,AR
Homo sapiens,High-affinity choline transporter,SINGLE PROTEIN,AR
Plasmodium falciparum,Fatty acid synthase,SINGLE PROTEIN,AR
Plasmodium falciparum,3-oxoacyl-acyl-carrier protein reductase,SINGLE PROTEIN,AR
Plasmodium falciparum,Enoyl-acyl-carrier protein reductase,SINGLE PROTEIN,AR
Rattus norvegicus,Peroxisome proliferator-activated receptor delta,SINGLE PROTEIN,AR
Cavia porcellus,Sigma-1 receptor,SINGLE PROTEIN,AR
Homo sapiens,Monocarboxylate transporter 1,SINGLE PROTEIN,AR
Homo sapiens,Dipeptidyl peptidase III,SINGLE PROTEIN,AR
Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),3-dehydroquinate dehydratase,SINGLE PROTEIN,AR
Mus musculus,Cellular tumor antigen p53,SINGLE PROTEIN,AR
Homo sapiens,GABA transporter 2,SINGLE PROTEIN,AR
Trypanosoma cruzi,Farnesyl diphosphate synthase,SINGLE PROTEIN,AR
Homo sapiens,Hydroxycarboxylic acid receptor 2,SINGLE PROTEIN,AR
Homo sapiens,Autotaxin,SINGLE PROTEIN,AR
Leishmania donovani,Farnesyl pyrophosphate synthase,SINGLE PROTEIN,AR
Staphylococcus aureus subsp. aureus N315,UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1,SINGLE PROTEIN,AR
Mycobacterium tuberculosis,Probable low molecular weight protein-tyrosine-phosphatase,SINGLE PROTEIN,AR
Mycobacterium tuberculosis,3-oxoacyl-[acyl-carrier-protein] synthase 2,SINGLE PROTEIN,AR
Mycobacterium tuberculosis,3-oxoacyl-[acyl-carrier-protein] synthase 1,SINGLE PROTEIN,AR
Mus musculus,Beta-secretase 1,SINGLE PROTEIN,AR
Homo sapiens,Cytochrome P450 2J2,SINGLE PROTEIN,AR
Cavia porcellus,Sodium/calcium exchanger 1,SINGLE PROTEIN,AR
Rattus norvegicus,Poly [ADP-ribose] polymerase 1,SINGLE PROTEIN,AR
Homo sapiens,Low molecular weight phosphotyrosine protein phosphatase,SINGLE PROTEIN,AR
Escherichia coli K-12,3-oxoacyl-[acyl-carrier-protein] synthase 1,SINGLE PROTEIN,AR
Escherichia coli K-12,3-oxoacyl-[acyl-carrier-protein] synthase 3,SINGLE PROTEIN,AR
Homo sapiens,HLA-DR antigens-associated invariant chain,SINGLE PROTEIN,AR
Oryctolagus cuniculus,Sarcoplasmic/endoplasmic reticulum calcium ATP-ase,SINGLE PROTEIN,AR
Plasmodium falciparum,Hexose transporter 1,SINGLE PROTEIN,AR
Homo sapiens,Malonyl-CoA decarboxylase,SINGLE PROTEIN,AR
Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Carbonic anhydrase 1,SINGLE PROTEIN,AR
Cricetulus longicaudatus,Heparan sulfate 2-O-sulfotransferase 1,SINGLE PROTEIN,AR
Bos taurus,Mitochondrial complex I; NADH oxidoreductase,PROTEIN COMPLEX,AR
Plasmodium falciparum,Orotidine phosphate decarboxylase,SINGLE PROTEIN,AR
Enterobacter cloacae,Imipenem-hydrolyzing beta-lactamase,SINGLE PROTEIN,AR
Saccharomyces cerevisiae S288c,Orotidine phosphate decarboxylase,SINGLE PROTEIN,AR
Homo sapiens,Neuropilin-1,SINGLE PROTEIN,AR
Homo sapiens,Fatty acid transport protein 2,SINGLE PROTEIN,AR
Homo sapiens,Fatty acid transport protein 4,SINGLE PROTEIN,AR
Homo sapiens,Fatty acid transport protein 5,SINGLE PROTEIN,AR
Homo sapiens,Photoreceptor-specific nuclear receptor,SINGLE PROTEIN,AR
Homo sapiens,Serine/threonine-protein kinase SRPK1,SINGLE PROTEIN,AR
Homo sapiens,Isoprenylcysteine carboxyl methyltransferase,SINGLE PROTEIN,AR
Rattus norvegicus,Fatty acid synthase,SINGLE PROTEIN,AR
Rattus norvegicus,"Oligopeptide transporter, kidney isoform",SINGLE PROTEIN,AR
Mus musculus,Serine/threonine-protein kinase Aurora-A,SINGLE PROTEIN,AR
Homo sapiens,Orphan nuclear receptor LRH-1,SINGLE PROTEIN,AR
Homo sapiens,Steroidogenic factor 1,SINGLE PROTEIN,AR
Homo sapiens,Mitogen-activated protein kinase 15,SINGLE PROTEIN,AR
Homo sapiens,Homeodomain-interacting protein kinase 3,SINGLE PROTEIN,AR
Homo sapiens,G-protein coupled bile acid receptor 1,SINGLE PROTEIN,AR
Mus musculus,Free fatty acid receptor 1,SINGLE PROTEIN,AR
Mus musculus,C-X-C chemokine receptor type 3,SINGLE PROTEIN,AR
Homo sapiens,Free fatty acid receptor 3,SINGLE PROTEIN,AR
Homo sapiens,Free fatty acid receptor 2,SINGLE PROTEIN,AR
Cavia porcellus,Muscarinic acetylcholine receptor M3,SINGLE PROTEIN,AR
Homo sapiens,Histone acetyltransferase GCN5,SINGLE PROTEIN,AR
Homo sapiens,Protein-arginine N-methyltransferase 1,SINGLE PROTEIN,AR
Rattus norvegicus,Mitogen-activated protein kinase 1,SINGLE PROTEIN,AR
Gallus gallus,Multifunctional protein ADE2,SINGLE PROTEIN,AR
Homo sapiens,Epithelial discoidin domain-containing receptor 1,SINGLE PROTEIN,AR
Homo sapiens,Eukaryotic translation initiation factor 2-alpha kinase 4,SINGLE PROTEIN,AR
Homo sapiens,Poly [ADP-ribose] polymerase 2,SINGLE PROTEIN,AR
Mus musculus,Transcription factor AP-1,SINGLE PROTEIN,AR
Homo sapiens,Forkhead box protein O1,SINGLE PROTEIN,AR
Homo sapiens,Mitogen-activated protein kinase 7,SINGLE PROTEIN,AR
Homo sapiens,Baculoviral IAP repeat-containing protein 3,SINGLE PROTEIN,AR
Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),Carbonic anhydrase,SINGLE PROTEIN,AR
Homo sapiens,G-protein coupled receptor 120,SINGLE PROTEIN,AR
Staphylococcus aureus,3-oxoacyl-[acyl-carrier-protein] synthase 2,SINGLE PROTEIN,AR
Mus musculus,Bile acid receptor,SINGLE PROTEIN,AR
Mus musculus,Inhibitor of nuclear factor kappa-B kinase subunit alpha,SINGLE PROTEIN,AR
Mus musculus,Nucleophosmin,SINGLE PROTEIN,AR
Homo sapiens,Targeting protein for Xklp2,SINGLE PROTEIN,AR
Homo sapiens,Serine/threonine-protein kinase SRPK3,SINGLE PROTEIN,AR
Homo sapiens,Protein disulfide-isomerase,SINGLE PROTEIN,AR
Rattus norvegicus,Acyl-CoA desaturase 1,SINGLE PROTEIN,AR
Homo sapiens,Baculoviral IAP repeat-containing protein 2,SINGLE PROTEIN,AR
Homo sapiens,Acid ceramidase,SINGLE PROTEIN,AR
Homo sapiens,Nuclear receptor subfamily 1 group I member 3,SINGLE PROTEIN,AR
Mus musculus,Mitogen-activated protein kinase 3,SINGLE PROTEIN,AR
Mus musculus,Histone-arginine methyltransferase CARM1,SINGLE PROTEIN,AR
Homo sapiens,DNA polymerase eta,SINGLE PROTEIN,AR
Homo sapiens,PCNA-associated factor,SINGLE PROTEIN,AR
Homo sapiens,Lysyl-tRNA synthetase,SINGLE PROTEIN,AR
Homo sapiens,Nuclear receptor subfamily 0 group B member 2,SINGLE PROTEIN,AR
Homo sapiens,Dual specificity testis-specific protein kinase 1,SINGLE PROTEIN,AR
Homo sapiens,Serine/threonine-protein kinase 11,SINGLE PROTEIN,AR
Homo sapiens,Endoplasmic reticulum aminopeptidase 2,SINGLE PROTEIN,AR
Homo sapiens,Neutral cholesterol ester hydrolase 1,SINGLE PROTEIN,AR
Homo sapiens,Poly [ADP-ribose] polymerase 3,SINGLE PROTEIN,AR
Homo sapiens,Putative uncharacterized serine/threonine-protein kinase SgK110,SINGLE PROTEIN,AR
SARS coronavirus,Replicase polyprotein 1ab,SINGLE PROTEIN,AR
Homo sapiens,Mitogen-activated protein kinase 6,SINGLE PROTEIN,AR
Rattus norvegicus,Acetyl-Coenzyme A carboxylase 2,SINGLE PROTEIN,AR
Rattus norvegicus,Niemann-Pick C1-like protein 1,SINGLE PROTEIN,AR
Rattus norvegicus,"Solute carrier family 2, facilitated glucose transporter member 1",SINGLE PROTEIN,AR
Homo sapiens,"Solute carrier family 2, facilitated glucose transporter member 3",SINGLE PROTEIN,AR
Homo sapiens,Uridine 5'-monophosphate synthase,SINGLE PROTEIN,AR
Rattus norvegicus,Nischarin,SINGLE PROTEIN,AR
Mus musculus,Tyrosine-protein kinase ABL2,SINGLE PROTEIN,AR
Homo sapiens,Serine/threonine-protein kinase TNNI3K,SINGLE PROTEIN,AR
Homo sapiens,Serine/threonine-protein kinase TAO1,SINGLE PROTEIN,AR
Mus musculus,Solute carrier family 22 member 20,SINGLE PROTEIN,AR
Sus scrofa,Vitamin D3 receptor,SINGLE PROTEIN,AR
Homo sapiens,High affinity immunoglobulin gamma Fc receptor I,SINGLE PROTEIN,AR
Mus musculus,Acyl-CoA desaturase 1,SINGLE PROTEIN,AR
Rattus norvegicus,"Aldehyde dehydrogenase, cytosolic 1",SINGLE PROTEIN,AR
Arabidopsis thaliana,Cycloartenol synthase,SINGLE PROTEIN,AR
Saccharomyces cerevisiae S288c,Meiotic mRNA stability protein kinase SSN3,SINGLE PROTEIN,AR
Saccharomyces cerevisiae S288c,Low molecular weight phosphotyrosine protein phosphatase,SINGLE PROTEIN,AR
Homo sapiens,Hepatocyte nuclear factor 4-alpha,SINGLE PROTEIN,AR
Homo sapiens,Pituitary adenylate cyclase-activating polypeptide type I receptor,SINGLE PROTEIN,AR
Rattus norvegicus,Aryl hydrocarbon receptor,SINGLE PROTEIN,AR
Homo sapiens,Histone-arginine methyltransferase CARM1,SINGLE PROTEIN,AR
Homo sapiens,Homeodomain-interacting protein kinase 1,SINGLE PROTEIN,AR
Mus musculus,Neutral cholesterol ester hydrolase 1,SINGLE PROTEIN,AR
Staphylococcus aureus,Dehydrosqualene synthase,SINGLE PROTEIN,AR
Agrocybe aegerita,Aromatic peroxygenase,SINGLE PROTEIN,AR
Escherichia coli,DNA polymerase I,SINGLE PROTEIN,AR
Homo sapiens,Galectin-8,SINGLE PROTEIN,AR
Homo sapiens,Proteinase-activated receptor 3,SINGLE PROTEIN,AR
Mus musculus,Signal transducer and activator of transcription 5A,SINGLE PROTEIN,AR
Homo sapiens,Monoacylglycerol lipase ABHD12,SINGLE PROTEIN,AR
Homo sapiens,Secreted frizzled-related protein 1,SINGLE PROTEIN,AR
Homo sapiens,"Chaperone activity of bc1 complex-like, mitochondrial",SINGLE PROTEIN,AR
Homo sapiens,Sodium/nucleoside cotransporter 1,SINGLE PROTEIN,AR
Homo sapiens,Acyl-CoA desaturase,SINGLE PROTEIN,AR
Rattus norvegicus,C-X-C chemokine receptor type 4,SINGLE PROTEIN,AR
Homo sapiens,Carbonyl reductase [NADPH] 1,SINGLE PROTEIN,AR
Homo sapiens,Nuclear receptor subfamily 4 group A member 2,SINGLE PROTEIN,AR
Mus musculus,Monoacylglycerol lipase ABHD6,SINGLE PROTEIN,AR
Mus musculus,Solute carrier family 22 member 6,SINGLE PROTEIN,AR
Homo sapiens,Solute carrier family 22 member 1,SINGLE PROTEIN,AR
Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Aspartate-semialdehyde dehydrogenase,SINGLE PROTEIN,AR
Methanobacterium thermoautotrophicum,Orotidine 5'-phosphate decarboxylase,SINGLE PROTEIN,AR
Bos taurus,Poly [ADP-ribose] polymerase 1,SINGLE PROTEIN,AR
Homo sapiens,Tumor necrosis factor ligand superfamily member 6,SINGLE PROTEIN,AR
Homo sapiens,Nuclear receptor subfamily 2 group C member 2,SINGLE PROTEIN,AR
Mus musculus,Arylamine N-acetyltransferase 1,SINGLE PROTEIN,AR
Mus musculus,Arylamine N-acetyltransferase 2,SINGLE PROTEIN,AR
Homo sapiens,Canalicular multispecific organic anion transporter 1,SINGLE PROTEIN,AR
Musca domestica,Acetylcholinesterase,SINGLE PROTEIN,AR
Homo sapiens,Uncharacterized aarF domain-containing protein kinase 4,SINGLE PROTEIN,AR
Homo sapiens,MAP/microtubule affinity-regulating kinase 4,SINGLE PROTEIN,AR
Homo sapiens,Forkhead box protein O3,SINGLE PROTEIN,AR
Homo sapiens,Sodium/nucleoside cotransporter 2,SINGLE PROTEIN,AR
Homo sapiens,NUAK family SNF1-like kinase 1,SINGLE PROTEIN,AR
Homo sapiens,"Interferon-induced, double-stranded RNA-activated protein kinase",SINGLE PROTEIN,AR
Rattus norvegicus,Mitogen-activated protein kinase 3,SINGLE PROTEIN,AR
Homo sapiens,Macrophage scavenger receptor types I and II,SINGLE PROTEIN,AR
Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228),Arylsulfatase,SINGLE PROTEIN,AR
Homo sapiens,Diacylglycerol O-acyltransferase 2,SINGLE PROTEIN,AR
Homo sapiens,Adenylate cyclase type 10,SINGLE PROTEIN,AR
Homo sapiens,Serine/threonine-protein kinase Nek1,SINGLE PROTEIN,AR
Homo sapiens,Trace amine-associated receptor 1,SINGLE PROTEIN,AR
Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),Alanyl-tRNA synthetase,SINGLE PROTEIN,AR
Homo sapiens,D-aspartate oxidase,SINGLE PROTEIN,AR
Homo sapiens,Protein arginine N-methyltransferase 3,SINGLE PROTEIN,AR
Homo sapiens,Lactoperoxidase,SINGLE PROTEIN,AR
Homo sapiens,Multifunctional protein ADE2,SINGLE PROTEIN,AR
Homo sapiens,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1,SINGLE PROTEIN,AR
Saccharomyces cerevisiae S288c,Carbonic anhydrase,SINGLE PROTEIN,AR
Homo sapiens,Proteinase-activated receptor 2,SINGLE PROTEIN,AR
Homo sapiens,IgG receptor FcRn large subunit p51,SINGLE PROTEIN,AR
Homo sapiens,Lysophosphatidic acid receptor 4,SINGLE PROTEIN,AR
Mus musculus,Monoacylglycerol lipase ABHD12,SINGLE PROTEIN,AR
Mus musculus,Carbonic anhydrase 15,SINGLE PROTEIN,AR
Homo sapiens,Carbonyl reductase [NADPH] 3,SINGLE PROTEIN,AR
Homo sapiens,Diacylglycerol O-acyltransferase 1,SINGLE PROTEIN,AR
Mus musculus,Inhibitor of nuclear factor kappa-B kinase subunit beta,SINGLE PROTEIN,AR
Mus musculus,"Nuclear factor of activated T-cells, cytoplasmic 1",SINGLE PROTEIN,AR
Homo sapiens,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",SINGLE PROTEIN,AR
Rattus norvegicus,Parathyroid hormone receptor,SINGLE PROTEIN,AR
Rattus norvegicus,Proteinase-activated receptor 1,SINGLE PROTEIN,AR
Bos taurus,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",SINGLE PROTEIN,AR
Homo sapiens,Ubiquitin-conjugating enzyme E2 N,SINGLE PROTEIN,AR
Homo sapiens,Actin-related protein 2,SINGLE PROTEIN,AR
Arabidopsis thaliana,Histidine kinase,SINGLE PROTEIN,AR
Arabidopsis thaliana,Histidine kinase,SINGLE PROTEIN,AR
Rattus norvegicus,Diacylglycerol O-acyltransferase 1,SINGLE PROTEIN,AR
Klebsiella pneumoniae,Carbepenem-hydrolyzing beta-lactamase KPC,SINGLE PROTEIN,AR
Homo sapiens,Tankyrase-1,SINGLE PROTEIN,AR
Homo sapiens,Serine/threonine-protein kinase LATS1,SINGLE PROTEIN,AR
Homo sapiens,Aryl hydrocarbon receptor nuclear translocator,SINGLE PROTEIN,AR
Homo sapiens,Proteasome subunit beta type-8,SINGLE PROTEIN,AR
Saccharomyces cerevisiae S288c,Dihydroorotate dehydrogenase,SINGLE PROTEIN,AR
Mycobacterium tuberculosis,Uncharacterized protein Rv1284/MT1322,SINGLE PROTEIN,AR
Mycobacterium tuberculosis,"2,3-dihydroxybenzoate-AMP ligase",SINGLE PROTEIN,AR
Homo sapiens,Disks large homolog 4,SINGLE PROTEIN,AR
Homo sapiens,Serine/threonine-protein kinase SRPK2,SINGLE PROTEIN,AR
Homo sapiens,NUAK family SNF1-like kinase 2,SINGLE PROTEIN,AR
Homo sapiens,Lysophosphatidic acid receptor 5,SINGLE PROTEIN,AR
Homo sapiens,Solute carrier family 28 member 3,SINGLE PROTEIN,AR
Rattus norvegicus,"Fatty acid-binding protein, liver",SINGLE PROTEIN,AR
Proteus mirabilis,Beta-lactamase,SINGLE PROTEIN,AR
Canis lupus familiaris,C5a anaphylatoxin chemotactic receptor,SINGLE PROTEIN,AR
Mus musculus,C5a anaphylatoxin chemotactic receptor,SINGLE PROTEIN,AR
Homo sapiens,Mitogen-activated protein kinase 4,SINGLE PROTEIN,AR
Homo sapiens,Sodium- and chloride-dependent taurine transporter,SINGLE PROTEIN,AR
Mycobacterium tuberculosis,PROBABLE TRANSMEMBRANE CARBONIC ANHYDRASE (CARBONATE DEHYDRATASE) (CARBONIC DEHYDRATASE),SINGLE PROTEIN,AR
Rattus norvegicus,C5a anaphylatoxin chemotactic receptor,SINGLE PROTEIN,AR
Homo sapiens,Gamma-parvin,SINGLE PROTEIN,AR
